sifra,tip,stanica,datum_vrijeme,T,vlaga,RR,vjetar,smjer_kod,udar,insolacija,pritisak
02ZBLJ10,glavna,Žabljak,18.08.2026 13:40,17.00,,0.00,0.50,2,,435.3,855.6
02BIST20,klimatološka,Bistrica,18.08.2026 13:00,20.10,,0.00,2.40,14,3.30,,
02BOAN30,klimatološka,Boan,18.08.2026 13:00,23.43,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 13:00,21.21,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 13:00,30.41,,,,,,,
02CRKV30,klimatološka,Crkvice,18.08.2026 13:00,21.25,,,,,,,
02DANL20,klimatološka,Danilovgrad,18.08.2026 13:00,30.50,,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,18.08.2026 13:00,19.14,,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,18.08.2026 13:00,17.36,,,,,,,
02GRAD30,klimatološka,Gradac,18.08.2026 13:00,21.57,,,,,,,
02IVKO30,klimatološka,Ivanova korita,18.08.2026 13:00,24.30,,0.00,,,,,
02KOSA30,klimatološka,Kosanica,18.08.2026 13:00,17.14,,,,,,,
02KOVR30,klimatološka,Kovren,18.08.2026 13:00,18.41,,0.00,,,,,
02KUKO30,klimatološka,Kučka korita,18.08.2026 13:00,23.26,,0.00,,,,,
02LKOT20,klimatološka,Luka Kotor,18.08.2026 13:16,28.60,,,3.30,,4.40,,
02MAMO30,klimatološka,Manastir Morača,18.08.2026 13:00,26.15,,,,,,,
02MATE30,klimatološka,Matesevo,18.08.2026 13:00,19.43,,0.00,,,,,
02MOKR30,klimatološka,Mokro,18.08.2026 13:00,23.18,,,,,,,
02NJGV30,klimatološka,Njegovuđa,18.08.2026 13:00,15.90,,,,,,,
02PLZN20,klimatološka,Pluzine,18.08.2026 13:00,21.39,,0.00,5.20,32,9.10,,
02POSC30,klimatološka,Pošćenje,18.08.2026 13:00,23.23,,,,,,,
02STAB30,klimatološka,Stabna,18.08.2026 13:00,23.01,,,,,,,
02STIT30,klimatološka,Štitarica,18.08.2026 13:00,17.96,,,,,,,
02UBLI20,klimatološka,Ubli,18.08.2026 13:00,30.11,,,,,,,
02VELK30,klimatološka,Velika,18.08.2026 13:00,22.80,,,,,,,
02VELM20,klimatološka,Velimlje,18.08.2026 13:00,25.80,,0.00,2.50,30,3.30,,
02VIRP20,klimatološka,Virpazar,18.08.2026 13:00,31.10,,0.00,,,,,
02BAR010,glavna,Bar,18.08.2026 15:50,30.00,,0.00,1.40,26,,670.4,1008.0
02BERA20,glavna,Berane,18.08.2026 15:00,23.73,,0.00,1.40,30,3.50,,934.92
02CTNJ10,glavna,Cetinje,18.08.2026 15:50,26.70,,0.00,0.70,2,,254.6,937.7
02HNOV10,glavna,Herceg Novi,18.08.2026 15:50,32.00,,0.00,0.40,14,,711.9,1004.0
02KOLS10,glavna,Kolašin,18.08.2026 15:50,21.70,,0.00,3.80,2,,310.4,906.6
02NIKS10,glavna,Nikšić,18.08.2026 15:50,26.40,,0.00,4.80,14,,413.8,936.8
02PDGR10,glavna,Podgorica,18.08.2026 15:50,31.30,,0.00,3.30,2,,219.0,1002.1
02PLJV10,glavna,Pljevlja,18.08.2026 15:50,23.90,,0.00,1.80,6,,598.9,924.1
02ULCN10,glavna,Ulcinj,18.08.2026 15:50,29.40,,0.00,6.20,22,,648.6,1007.6
02ZBLJ10,glavna,Žabljak,18.08.2026 15:50,18.10,,0.00,2.00,6,,195.4,854.7
02BIST20,klimatološka,Bistrica,18.08.2026 15:00,22.10,,0.00,2.70,2,4.40,,
02BOAN30,klimatološka,Boan,18.08.2026 15:00,25.98,,,,,,,
02BPLJ20,klimatološka,Bijelo Polje,18.08.2026 15:00,23.36,,,,,,,
02BUDV20,klimatološka,Budva,18.08.2026 15:00,30.97,,,,,,,
02CRKV30,klimatološka,Crkvice,18.08.2026 15:00,17.20,,,,,,,
02DANL20,klimatološka,Danilovgrad,18.08.2026 15:00,34.00,,,,,,,
02DDOB30,klimatološka,Donja Dobrilovina,18.08.2026 15:00,22.83,,,,,,,
02GOBU30,klimatološka,Gornja Bukovica,18.08.2026 15:00,20.69,,,,,,,
02GRAD30,klimatološka,Gradac,18.08.2026 15:00,24.52,,,,,,,
02IVKO30,klimatološka,Ivanova korita,18.08.2026 15:00,21.81,,0.00,,,,,
02KOSA30,klimatološka,Kosanica,18.08.2026 15:00,20.65,,,,,,,
02KOVR30,klimatološka,Kovren,18.08.2026 15:00,20.23,,0.00,,,,,
02KUKO30,klimatološka,Kučka korita,18.08.2026 15:00,20.36,,0.00,,,,,
